,index,ingrediente,name,price,reference_price,reference_unit,dbpedia_Uri
1377,831,aguacate,IROHA mascarilla facial hidratante con aguacate y ácido hialurónico 1 ud,2.5,2.5,ud,http://dbpedia.org/resource/Avocado
1378,1142,aguacate,Pulpa de aguacate tarrina 125 gr,1.55,12.4,kg,http://dbpedia.org/resource/Avocado
1380,1939,aguacate,LA ESPAÑOLA aceite de aguacate botella 250 ml,5.99,23.96,l,http://dbpedia.org/resource/Avocado
1381,5283,aguacate,BONTE champú aguacate y karité antiencrespamiento bote 250 ml,1.89,7.56,l,http://dbpedia.org/resource/Avocado
1382,5294,aguacate,DIA IMAQE Naturals champú sólido reparador con aguacate y arándanos 60 gr,3.29,54.83,kg,http://dbpedia.org/resource/Avocado
406,382,cerdo,Magro de cerdo ibérico cocido Louriño 200 g.,2.45,12.25,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
408,498,cerdo,Chuleta de aguja de cerdo Carrefour 1 kg aprox,4.55,4.55,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
410,499,cerdo,EScalopin de lomo de cerdo fresco marinado El Pozo Extratiernos 600 g,4.5,7.5,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
412,500,cerdo,Jamón de cerdo troceado Carrefour 600 g aprox,2.99,4.99,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
414,501,cerdo,Filete de cabeza de lomo de cerdo Carrefour 500 g aprox,2.75,5.5,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
417,612,cerdo,Oreja de cerdo cocida adobada Carrefour 400 g,3.0,7.5,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
420,1340,cerdo,Cortezas de cerdo fritas Classic Carrefour sin gluten 75 g.,0.7,9.33,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
424,1342,cerdo,Morritos de cerdo 175 g,3.15,18.0,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
425,1528,cerdo,Paté de hígado de cerdo Classic Carrefour pack de 4 unidades de 78 g.,1.99,8.5,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
428,1568,cerdo,Paleta de cerdo asada sin hueso Benaojan 750 g aprox,9.71,12.95,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
431,2374,cerdo,"Solomillo de cerdo Carrefour 1,2 kg aprox",7.07,5.89,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
438,2384,cerdo,Lomo Ibérico de cerdo adobado 200 g,4.55,22.75,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
443,2392,cerdo,Longaniza blanca de cerdo fresca ElPozo 650 g,2.99,4.6,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
445,2398,cerdo,Lomo de cerdo adobado al horno El Pozo 330 g,3.29,9.97,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
448,2399,cerdo,Albóndigas de cerdo Carrefour 400 g,1.89,1.89,ud,http://dbpedia.org/resource/Cerdo_(gnostic)
1396,1095,cerdo,FOURIER paté de cerdo a la pimienta envase 75 gr,1.0,13.33,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
1397,1126,cerdo,FOURIER paté de cerdo a las finas hierbas tarro 75 gr,1.0,13.33,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
1400,1532,cerdo,SELECCIÓN DE DIA filetes de cinta de lomo de cerdo bandeja 400 gr,2.89,7.23,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
1401,1533,cerdo,SELECCIÓN DE DIA tira de costilla de cerdo a las finas hierbas (peso aprox. 1.4 Kg),11.89,8.49,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
1403,1534,cerdo,SELECCIÓN DE DIA filetes de cabeza de lomo de cerdo (peso aprox. 650 gr),4.09,6.29,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
1406,1536,cerdo,SELECCIÓN DE DIA albóndigas de cerdo bandeja 400 gr,2.29,5.73,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
1407,1539,cerdo,EMCESA oreja de cerdo al ajillo envase 500 gr,2.97,5.94,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
1408,1540,cerdo,SELECCIÓN DE DIA chuletas de cerdo de Sajonia bandeja (peso aprox. 350 gr),3.24,9.25,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
1410,1542,cerdo,Lomo de cerdo extra al ajillo bandeja 300 gr,2.25,7.5,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
1411,1955,cerdo,DIA paté de hígado de cerdo tarro 200 gr,1.09,5.45,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
1413,1956,cerdo,LA PIARA paté de hígado de cerdo pack 2 latas 184 gr,2.65,14.4,kg,http://dbpedia.org/resource/Cerdo_(gnostic)
