,Id,Nombre,Dificultad,Num_comensales,Tiempo,Link_receta
0,58251,"Sándwich de pollo, bacon y huevo",baja,1,30m,https://www.recetasgratis.net/receta-de-sandwich-de-pollo-bacon-y-huevo-58251.html
1,66067,Bocadillo de jamón serrano y queso con tomate,baja,2,30m,https://www.recetasgratis.net/receta-de-bocadillo-de-jamon-serrano-y-queso-con-tomate-66067.html
2,58973,Sándwich de aguacate y atún,baja,1,10m,https://www.recetasgratis.net/receta-de-sandwich-de-aguacate-y-atun-58973.html
3,57328,Empanadas de chorizo y queso,media,8,1h 30m,https://www.recetasgratis.net/receta-de-empanadas-de-chorizo-y-queso-57328.html
4,52312,Empanadillas de atún y huevo,media,6,30m,https://www.recetasgratis.net/receta-de-empanadillas-de-atun-y-huevo-52312.html
5,61558,Arroz con zanahoria y cebolla,baja,6,15m,https://www.recetasgratis.net/receta-de-arroz-con-zanahoria-y-cebolla-61558.html
6,72227,Risotto de setas y gambas,media,4,45m,https://www.recetasgratis.net/receta-de-risotto-de-setas-y-gambas-72227.html
7,57460,Arroz con nueces y arándanos,baja,5,45m,https://www.recetasgratis.net/receta-de-arroz-con-nueces-y-arandanos-57460.html
8,61994,Risotto de pollo con champiñones,media,5,30m,https://www.recetasgratis.net/receta-de-risotto-de-pollo-con-champinones-61994.html
9,63488,Paella de conejo y verduras,media,4,45m,https://www.recetasgratis.net/receta-de-paella-de-conejo-y-verduras-63488.html
10,74177,Tarta de yogur y fresas,baja,6,30m,https://www.recetasgratis.net/receta-de-tarta-de-yogur-y-fresas-74177.html
11,74047,Tarta de queso y limón,baja,6,45m,https://www.recetasgratis.net/receta-de-tarta-de-queso-y-limon-74047.html
12,74071,Helado de dulce de leche,baja,8,10m,https://www.recetasgratis.net/receta-de-helado-de-dulce-de-leche-74071.html
13,73067,Helado de pistacho,media,4,30m,https://www.recetasgratis.net/receta-de-helado-de-pistacho-73067.html
14,69177,Helado de chocolate y avellanas,baja,2,2h 30m,https://www.recetasgratis.net/receta-de-helado-de-chocolate-y-avellanas-69177.html
15,27593,Salteado de pulpo con verduras,,,,https://www.recetasgratis.net/receta-de-salteado-de-pulpo-con-verduras-27593.html
16,17446,Salpicón de pulpo con patatas,baja,2,30m,https://www.recetasgratis.net/receta-de-salpicon-de-pulpo-con-patatas-17446.html
17,11350,Camarones con ajo y limon,,,,https://www.recetasgratis.net/receta-de-camarones-con-ajo-y-limon-11350.html
18,73908,Camarones al curry,media,4,45m,https://www.recetasgratis.net/receta-de-camarones-al-curry-73908.html
19,73414,Camarones con tocino y queso,baja,4,30m,https://www.recetasgratis.net/receta-de-camarones-con-tocino-y-queso-73414.html
20,38301,Espaguetis con apio y crema,baja,4,30m,https://www.recetasgratis.net/receta-de-espaguetis-con-apio-y-crema-38301.html
21,71779,Espaguetis con brócoli,baja,1,30m,https://www.recetasgratis.net/receta-de-espaguetis-con-brocoli-71779.html
22,57618,Espaguetis con verduras y tomate,baja,4,30m,https://www.recetasgratis.net/receta-de-espaguetis-con-verduras-y-tomate-57618.html
23,58397,Pizza de atún y jamon york,baja,2,30m,https://www.recetasgratis.net/receta-de-pizza-de-atun-y-jamon-york-58397.html
24,65165,Pizza con rúcula y tomates cherry,baja,1,1h 30m,https://www.recetasgratis.net/receta-de-pizza-con-rucula-y-tomates-cherry-65165.html
25,74058,Merluza en salsa de almendras,media,4,45m,https://www.recetasgratis.net/receta-de-merluza-en-salsa-de-almendras-74058.html
26,26030,Merluza con habas,,,,https://www.recetasgratis.net/receta-de-merluza-con-habas-26030.html
